,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","L1 Cache","L2 Cache","L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","PCI Express® Version","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Graphics Frequency","Graphics Model","Supported Technologies","AMD Ryzen™ AI","FIPS Certification","FIPS Certification Links"
,on,"AMD Ryzen™ 9 5980HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000474,,1/12/2021,8,16,8,3.3GHz,"Up to 4.8GHz",,4MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",45+W,35-54W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"2100 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 9 5980HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000474,,1/12/2021,8,16,8,3.0GHz,"Up to 4.8GHz",,4MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"2100 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 9 5900HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000300,,1/12/2021,8,16,8,3.3GHz,"Up to 4.6GHz",,4MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",45+W,35-54W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"2100 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 9 5900HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,100-000000300,,1/12/2021,8,16,,3.0GHz,"Up to 4.6GHz",8KB,4MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"2100 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 9 4900HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,,,,8,16,8,3.0GHz,"Up to 4.3GHz",,4MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1750 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 9 4900H","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,,,3/16/20,8,16,8,3.3GHz,"Up to 4.4GHz",,4MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",35-54W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1750 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 7 PRO 7840U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO Processors with Radeon™ Graphics","Laptop, Mobile Workstation, 1L Desktop","100-000000961 (FP7r2) , 100-000000970 (FP7)",,,8,16,12,3.3GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2","PCIe® 4.0",,15-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7)",2,"2700 MHz","AMD Radeon™ 780M",,Available,"In Review","Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 7840HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO Processors with Radeon™ Graphics","Laptop, Mobile Workstation, 1L Desktop","100-000000968 (FP7) 100-000000959 (FP7r2)",,,8,16,12,3.8GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2","PCIe® 4.0",,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7)",2,"2700 MHz","AMD Radeon™ 780M",,Available,"In Review","Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 7730U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,100-000000948,,,8,16,8,2.0GHz,"Up to 4.5GHz",512KB,4MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"2000 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 6860Z","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,100-000000781,,,8,16,12,2.7GHz,"Up to 4.75GHz",512KB,4MB,16MB,,"TSMC 6nm FinFET",,"PCIe® 4.0",28W,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 PRO 6850U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7:100-000000538 FP7r2:100-000000550",,,8,16,12,2.7GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",,15W-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 6850HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000542 FP7r2:100-000000564",,,8,16,12,3.2GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 PRO 6850H","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000542 FP7r2: 100-000000564",,,8,16,12,3.2GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 5875U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Mobile Processors",Laptop,100-000000581,,,8,16,8,2.0GHz,"Up to 4.5GHz",512KB,4MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"2000 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 5850U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 5000 Series Mobile Processors",Laptop,100-000000289,,03/16/2021,8,16,8,1.9GHz,"Up to 4.4GHz",,4MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","3200MT/s / 4266MT/s","DDR4, LPDDR4",,"2000 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 4750U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO 4000 Series Mobile Processors",Laptop,100-000000101,,5/7/2020,8,16,7,1.7GHz,"Up to 4.1GHz",,4MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1600 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 7 PRO 3700U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM370BC4T4MFG,n/a,4/8/2019,4,8,10,2.3GHz,"Up to 4.0GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1400 MHz","Radeon™ Vega 10 Graphics","AMD PRO security, DASH 1.2",,,
,on,"AMD Ryzen™ 7 PRO 2700U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 7 PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM270BC4T4MFB,n/a,"Q1 2019",4,8,10,2.2GHz,"Up to 3.8GHz",384KB,2MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1300 MHz","Radeon™ Vega 10 Graphics","AMD PRO security, AMD SenseMI Technology, AMD ""Zen"" Core Architecture, DASH 1.2",,,
,on,"AMD Ryzen™ 7 8845HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"100-000001322 (FP7r2), 100-000001384 (FP7), 100-000001311 (FP8)",,,8,16,12,3.8GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",45W,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2700 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 7 8840U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"100-000001323 (FP7r2), 100-000001375 (FP7), 100-000001312 (FP8)",,,8,16,12,3.3GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",28W,15-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2700 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 7 8840HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"100-000001372 (FP7r2), 100-000001379 (FP7), 100-000001357 (FP8)",,,8,16,12,3.3GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",28W,20-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2700 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 7 7840U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"100-000000830 (FP7r2) , 100-000000829 (FP7) , 100-000001131 (FP8)",,,8,16,12,3.3GHz,"Up to 5.1GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",28W,15-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2700 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 7 7840HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"100-000000955 (FP7r2) 100-000000964 (FP7) 100-000001129 (FP8)",,,8,16,12,3.8GHz,"Up to 5.1GHz",512KB,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",35-54W,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2700 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 7 7745HX","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,100-000000721,,,8,16,2,3.6GHz,"Up to 5.1GHz",512KB,8MB,32MB,Yes,"TSMC 5nm FinFET",FL1,"PCIe® 5.0",55W,45-75W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 7 7736U​","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"FP7:100-000000534 FP7r2:	100-000000617",,,8,16,12,2.7GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 7735U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"FP7:  100-000000987 FP7r2:  100-000000991",,,8,16,12,2.7GHz,"Up to 4.75GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",28W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5, LPDDR5",2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 7735HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,"FP7:  100-000000985, FP7r2: 100-000000989",,,8,16,12,3.2GHz,"Up to 4.75GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",35-54W,35-54W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5, LPDDR5",2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 7730U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Processors with Radeon™ Graphics",Laptop,100-000000942,,,8,16,8,2.0GHz,"Up to 4.5GHz",512KB,4MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"2000 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 7 6800U​","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000534 FP7r2:	100-000000617",,,8,16,12,2.7GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 6800HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000545 FP7r7:	100-000000561",,,8,16,12,3.2GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 7 6800H","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000545 FP7r2:	100-000000561",,,8,16,12,3.2GHz,"Up to 4.7GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 680M",,,,
