Processor Number,Intel® Core™ Generation,Brand Identifier ,Year Launched,Lithography,# cores ,# of Performance-cores,# of Efficient-cores,# Threads,Max Turbo Frequency,Cache,Processor Base Power (previously known as TDP),Minimum Assured Power (previously known as Configurable TDP-down),Max Memory Size (dependent on memory type),Memory Types5,Processor Graphics,Graphics Max Dynamic Frequency,"Max Resolution for HDMI,
 Max Resolution for DP, 
Max Resolution for (eDP - Integrated Flat Panel)",DirectX* Support,OpenGL* Support,Intel® vPro™ Eligibility,Instruction Set Extensions
i9-13980HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.60 GHz3,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13950HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.50 GHz2,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13905H,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.40 GHz2,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900HK,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900H,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13850HX,13th ,i7,2023,Intel 7,20,8,12,28,"5.30 GHz2,4",30 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.60 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13800H,13th ,i7,2023,Intel 7,14,6,8,20,"5.20 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1370P,13th ,i7,2023,Intel 7,14,6,8,20,"5.20 GHz2,4",24 MB,28 W,20 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13705H,13th ,i7,2023,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13700HX,13th ,i7,2023,Intel 7,16,8,8,24,"5.00 GHz2,4",30 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.55 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13700H,13th ,i7,2023,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1365U,13th ,i7,2023,Intel 7,10,2,8,12,"5.20 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.30 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13650HX,13th ,i7,2023,Intel 7,14,6,8,20,"4.90 GHz2,4",24 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.55 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13620H,13th ,i7,2023,Intel 7,10,6,4,16,"4.90 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® UHD for 13th Gen,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1360P,13th ,i7,2023,Intel 7,12,4,8,16,"5.00 GHz1,4",18 MB ,28 W,20 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1355U,13th ,i7,2023,Intel 7,10,2,8,12,"5.00 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.30 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13600HX,13th ,i5,2023,Intel 7,14,6,8,20,"4.80 GHz1,4",24 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.50 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13600H,13th ,i5,2023,Intel 7,12,4,8,16,"4.80 GHz1,4",18 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1350P,13th ,i5,2023,Intel 7,12,4,8,16,"4.70 GHz1,4",12 MB,28 W,20 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13505H,13th ,i5,2023,Intel 7,12,4,8,16,"4.70 GHz1,4",18 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.45 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13500HX,13th ,i5,2023,Intel 7,14,6,8,20,"4.70 GHz1,4",24 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.50 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13500H7,13th ,i5,2023,Intel 7,12,4,8,16,"4.70 GHz1,4",18 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.45 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1345U,13th ,i5,2023,Intel 7,10,2,8,12,"4.70 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.25 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13450HX,13th ,i5,2023,Intel 7,10,6,4,16,"4.60 GHz1,4",20 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.45 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-13420H,13th ,i5,2023,Intel 7,8,4,4,12,"4.60 GHz1,4",12 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® UHD for 13th Gen,1.40 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1340P,13th ,i5,2023,Intel 7,12,4,8,16,"4.60 GHz1,4",12 MB,28 W,20 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.45 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1335U,13th ,i5,2023,Intel 7,10,2,8,12,"4.60 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.25 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1334U,13th ,i5,2023,Intel 7,10,2,8,12,"4.60 GHz1,4",12 MB,15 W,N/A,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.25 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-1315U6,13th ,i3,2023,Intel 7,6,2,4,8,"4.50 GHz1,4",10 MB,15 W,12 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® UHD for 13th Gen,1.25 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i3-1305U,13th ,i3,2023,Intel 7,5,1,4,6,"4.50 GHz1,4",10 MB,15 W,N/A,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® UHD for 13th Gen,1.25 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-12950HX,12th,i9,2022,Intel 7,16,8,8,24,"5.00 GHz2,4",30 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 12th Gen,1.55 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 5120 x 3200@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-12900HK,12th,i9,2022,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 4800 MT/s 
Up to DDR4 3200 MT/s 
Up to LPDDR5 5200 MT/s 
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.45 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-12900H,12th,i9,2022,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 4800 MT/s 
Up to DDR4 3200 MT/s 
Up to LPDDR5 5200 MT/s 
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.45 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-12850HX,12th,i7,2022,Intel 7,16,8,8,24,"4.80 GHz2,4",25 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 12th Gen,1.45 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 5120 x 3200@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-12800H,12th,i7,2022,Intel 7,14,6,8,20,"4.80 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 4800 MT/s 
Up to DDR4 3200 MT/s 
Up to LPDDR5 5200 MT/s 
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1270P,12th,i7,2022,Intel 7,12,4,8,16,"4.80 GHz1,4",18 MB,28 W,20 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-12700H,12th,i7,2022,Intel 7,14,6,8,20,"4.70 GHz2,4",24 MB,45 W,35 W,64 GB,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1265U,12th,i7,2022,Intel 7,10,2,8,12,"4.80 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.25 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-12650HX,12th,i7,2022,Intel 7,14,6,8,20,"4.70 GHz2,4",24 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 12th Gen,1.45 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 5120 x 3200@ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-12650H,12th,i7,2022,Intel 7,10,6,4,16,"4.70 GHz2,4",24 MB,45 W,35 W,64 GB,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Intel® UHD Graphics for 12th Gen,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1260U,12th,i7,2022,Intel 7,10,2,8,12,"4.70 GHz1,4",12 MB,9 W,N/A,64 GB,"Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/",Intel® Iris® Xe Graphics eligible,950 MHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1260P ,12th,i7,2022,Intel 7,12,4,8,16,"4.70 GHz1,4",18 MB,28 W,20 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1255U,12th,i7,2022,Intel 7,10,2,8,12,4.70 GHz4,12 MB,15 W,12 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.25 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1250U,12th,i7,2022,Intel 7,10,2,8,12,"4.70 GHz1,4",12 MB,9 W,N/A,64 GB,"Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,950 MHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-12600H,12th,i5,2022,Intel 7,12,4,8,16,"4.50 GHz1,4",18 MB,45 W,35 W,64 GB,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1250P ,12th,i5,2022,Intel 7,12,4,8,16,"4.40 GHz1,4",12 MB,28 W,20 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.40 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-12500H,12th,i5,2022,Intel 7,12,4,8,16,"4.50 GHz1,4",18 MB,45 W,35 W,64 GB,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Intel® Iris® Xe Graphics eligible,1.30 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1245U ,12th,i5,2022,Intel 7,10,2,8,12,"4.40 GHz1,4",12 MB,15 W,12 W,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.20 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-12450HX ,12th,i5,2022,Intel 7,8,4,4,12,"4.40 GHz2,4",12 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 12th Gen,1.30 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 5120 x 3200@ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-12450H,12th,i5,2022,Intel 7,8,4,4,12,"4.40 GHz1,4",12 MB,45 W,35 W,64 GB,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Intel® UHD Graphics for 12th Gen,1.20 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1240U ,12th,i5,2022,Intel 7,10,2,8,12,"4.40 GHz1,4",12 MB,9 W,N/A,64 GB,"Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,900 MHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1235U,12th,i5,2022,Intel 7,10,2,8,12,"4.40 GHz1,4",12 MB,15 W,N/A,64 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.20 GHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i5-1230U ,12th,i5,2022,Intel 7,10,2,8,12,"4.40 GHz1,4",12 MB,9 W,N/A,64 GB,"
Up to LPDDR5 5200 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,850 MHz,"HDMI: 4096 x 2304@ 60Hz
DP: 7680 x 4320@60Hz
eDP: 4096 x 2304@ 120Hz
",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
